draft_player_name,draft_year,pos_group,height_inches,ast_per_40,college_bpm,height_formatted,manual_override_position,review_reason
Aday Mara,2026,Big,87.0,4.144413586840418,14.6193,"7'3""",Big,Jumbo Playmaker (Review Guard/Wing)
Baba Miller,2026,Big,83.0,4.654959312867423,9.64885,"6'11""",Big,Jumbo Playmaker (Review Guard/Wing)
Caleb Wilson,2026,Wing,82.0,3.407466090812095,12.2009,"6'10""",Wing,Jumbo Playmaker (Review Guard/Wing)
Nate Ament,2026,Wing,82.0,3.158153688545307,6.11075,"6'10""",Wing,Jumbo Playmaker (Review Guard/Wing)
Tarris Reed Jr.,2026,Big,82.0,3.3479563214518504,12.9328,"6'10""",Big,Jumbo Playmaker (Review Guard/Wing)
Dailyn Swain,2026,Wing,80.0,4.367654273586314,9.43828,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
Koa Peat,2026,Wing,80.0,3.7214361087201575,7.99692,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
Yaxel Lendeborg,2026,Wing,80.5,4.279316636258086,15.4997,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
AJ Dybantsa,2026,Wing,81.0,4.273166017613594,6.22968,"6'9""",Wing,Short Big
Allen Graves,2026,Big,81.0,3.1870534805279886,14.2222,"6'9""",Big,Short Big
Cameron Boozer,2026,Big,81.0,4.939845106754385,16.0077,"6'9""",Big,Short Big
Joshua Jefferson,2026,Wing,81.0,6.170299436818249,11.2303,"6'9""",Wing,Short Big
Maliq Brown,2026,Big,81.0,3.222070272965594,13.8643,"6'9""",Big,Short Big
Morez Johnson,2026,Big,81.0,1.911779348800159,11.4082,"6'9""",Big,Short Big
Trey Kaufman-Renn,2026,Big,81.0,3.6101262584995353,8.03974,"6'9""",Big,Short Big
Tyler Bilodeau,2026,Big,81.0,1.4114433649234115,5.64986,"6'9""",Big,Short Big
Zuby Ejiofor,2026,Big,81.0,4.722366718685393,14.2722,"6'9""",Big,Short Big
Amari Williams,2025,Big,84.0,5.614479113114776,9.11998,"7'0""",Big,Jumbo Playmaker (Review Guard/Wing)
Danny Wolf,2025,Big,82.5,4.679233899394372,8.66077,"6'10""",Big,Jumbo Playmaker (Review Guard/Wing)
Johni Broome,2025,Big,81.25,3.8224845024577747,13.718,"6'9""",Big,Jumbo Playmaker (Review Guard/Wing)
Thomas Sorber,2025,Big,81.25,3.083508771929824,7.52948,"6'9""",Big,Jumbo Playmaker (Review Guard/Wing)
Cooper Flagg,2025,Wing,79.75,5.4977718519870775,14.1669,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
Kobe Sanders,2025,Guard,79.0,5.6240491386221745,4.41552,"6'7""",Guard,Jumbo Playmaker (Review Guard/Wing)
Will Riley,2025,Wing,80.25,3.469029579213219,4.63064,"6'8""",Wing,Jumbo Playmaker (Review Guard/Wing)
Asa Newell,2025,Big,81.0,1.21150293639196,8.33578,"6'9""",Big,Short Big
Kyle Filipowski,2024,Big,82.75,3.652993256993691,10.5266,"6'11""",Big,Jumbo Playmaker (Review Guard/Wing)
Oso Ighodaro,2024,Big,81.5,3.589784615384615,8.40112,"6'10""",Big,Jumbo Playmaker (Review Guard/Wing)
