draft_player_name,college_player_name,draft_year,college_team,match_score,match_method
Malique Lewis,Malique Ewin,2026,Florida St.,88.0,REJECTED
Yang Hansen,Sean Hansen,2025,Cornell,81.81818181818181,REJECTED
Mohamed Diawara,Mohamed Diarra,2025,N.C. State,89.65517241379311,REJECTED
AJ Johnson,Abe Johnson,2024,Army,85.71428571428572,REJECTED
Juan Nunez,Juan Munoz,2024,Hawaii,80.0,REJECTED
Amen Thompson,Sam Thompson,2023,Southeast Missouri St.,88.0,REJECTED
Ausar Thompson,Aaron Thompson,2023,Butler,85.71428571428572,REJECTED
GG Jackson,Jackson Gore,2023,Wofford,81.81818181818181,REJECTED
Dyson Daniels,Devon Daniels,2022,N.C. State,84.61538461538461,REJECTED
Ousmane Dieng,Ousmane Ndim,2022,LIU,80.0,REJECTED
Jaden Hardy,Jayden Hardaway,2022,Memphis,84.61538461538461,REJECTED
Jalen Green,Malek Green,2021,Canisius,81.81818181818181,REJECTED
Cam Thomas,Cameron Thomas,2021,LSU,83.33333333333334,ACCEPTED
KJ Martin,Josh Martin,2020,Santa Clara,80.0,REJECTED
Darius Bazley,Darius Beane,2019,Southern Illinois,80.0,REJECTED
Nic Claxton,Nicolas Claxton,2019,Georgia,84.61538461538461,ACCEPTED
Mitchell Robinson,Mike Robinson,2018,Miami FL,80.0,REJECTED
Svi Mykhailiuk,Sviatoslav Mykhailiuk,2018,Kansas,80.0,ACCEPTED
Wes Iwundu,Wesley Iwundu,2017,Kansas St.,86.95652173913044,ACCEPTED
Emmanuel Mudiay,Emmanuel Matey,2015,Morgan St.,82.75862068965517,REJECTED
Joe Young,Joseph Young,2015,Oregon,85.71428571428572,ACCEPTED
Daniel Diez,Daniel Dingle,2015,Temple,83.33333333333334,REJECTED
Luka Mitrovic,Luka Radovic,2015,South Carolina St.,80.0,REJECTED
Nikola Jokić,Nikola Gajic,2014,Stephen F. Austin,83.33333333333334,REJECTED
Edy Tavares,Tavares Sledge,2014,Wright St.,80.0,REJECTED
Devyn Marble,Roy Devyn Marble,2014,Iowa,85.71428571428572,ACCEPTED
Alex Abrines,Alex Abreu,2013,Akron,81.81818181818181,REJECTED
Davis Bertans,Bryan Davis,2011,Texas A&M,83.33333333333334,REJECTED
Wesley Johnson,Wes Johnson,2010,Syracuse,88.0,ACCEPTED
Brandon Jennings,Brandon Ewing,2009,Wyoming,82.75862068965517,REJECTED
Mike Taylor,Nick Taylor,2008,FIU,81.81818181818181,REJECTED
